training_text,category,Complaint Type,Descriptor,Agency,Agency Name,Borough
Standing Water Sewer or Drain,drainage,Standing Water,Sewer or Drain,DOHMH,Department of Health and Mental Hygiene,QUEENS
Street Condition Wear & Tear,roads,Street Condition,Wear & Tear,DOT,Department of Transportation,MANHATTAN
Indoor Sewage Sewage Odor,drainage,Indoor Sewage,Sewage Odor,DOHMH,Department of Health and Mental Hygiene,BROOKLYN
Street Condition Defective Hardware,roads,Street Condition,Defective Hardware,DOT,Department of Transportation,MANHATTAN
Sidewalk Condition Defective Hardware,roads,Sidewalk Condition,Defective Hardware,DOT,Department of Transportation,MANHATTAN
"Air Quality Air: Dust, Construction/Demolition (AE4)",environment,Air Quality,"Air: Dust, Construction/Demolition (AE4)",DEP,Department of Environmental Protection,MANHATTAN
Sewer Sewer Backup (Use Comments) (SA),drainage,Sewer,Sewer Backup (Use Comments) (SA),DEP,Department of Environmental Protection,BRONX
"Street Condition Rough, Pitted or Cracked Roads",roads,Street Condition,"Rough, Pitted or Cracked Roads",DOT,Department of Transportation,BRONX
Street Light Condition Lamppost Knocked Down,electricity,Street Light Condition,Lamppost Knocked Down,DOT,Department of Transportation,Unspecified
"Hazardous Materials Oil Spill On Street, Small (HQS)",environment,Hazardous Materials,"Oil Spill On Street, Small (HQS)",DEP,Department of Environmental Protection,BROOKLYN
Indoor Air Quality Ventilation,environment,Indoor Air Quality,Ventilation,DOHMH,Department of Health and Mental Hygiene,STATEN ISLAND
WATER LEAK HEAVY FLOW,water_supply,WATER LEAK,HEAVY FLOW,HPD,Department of Housing Preservation and Development,MANHATTAN
"Hazardous Materials Oil Spill On Street, Large (HQL)",environment,Hazardous Materials,"Oil Spill On Street, Large (HQL)",DEP,Department of Environmental Protection,BROOKLYN
ELECTRIC POWER OUTAGE,electricity,ELECTRIC,POWER OUTAGE,HPD,Department of Housing Preservation and Development,MANHATTAN
Water System Leak (Use Comments) (WA2),water_supply,Water System,Leak (Use Comments) (WA2),DEP,Department of Environmental Protection,QUEENS
Sanitation Condition 15 Street Cond/Dump-Out/Drop-Off,garbage,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,DSNY,Bronx 11,BRONX
DEP Street Condition Ponding,drainage,DEP Street Condition,Ponding,DOT,Department of Transportation,BRONX
ELECTRIC WIRING,electricity,ELECTRIC,WIRING,HPD,Department of Housing Preservation and Development,BRONX
Highway Condition Pothole - Highway,roads,Highway Condition,Pothole - Highway,DOT,Department of Transportation,Unspecified
Curb Condition Curb Defect-Metal Protruding,roads,Curb Condition,Curb Defect-Metal Protruding,DOT,Department of Transportation,BROOKLYN
