complaint_text,category,language,source
The electrical system needs attention because of lamppost wire exposed outside our building. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation_v2
There is bulk-missed recy collection near the school. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewage odor near the hospital. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation_v2
"Please investigate air: odor/fumes, restaurant in the residential area. Please investigate this issue.",environment,english,NYC311_seed_controlled_augmentation_v2
We are experiencing unknown odor/taste in drinking water near our house. Residents are requesting assistance.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Please send a technician because of lamppost wire exposed near the junction. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation_v2
Wastewater problems have occurred due to sewage leak in the residential area. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve ponding near our house. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation_v2
We are experiencing an electrical problem involving power outage on the main road. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please resolve the drainage issue involving sewage leak near the hospital.,drainage,english,NYC311_seed_controlled_augmentation_v2
People in the area are experiencing leak near the school. We would appreciate assistance with this problem.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"Please inspect the environmental issue involving oil spill on street, small close to the bus stop. This issue needs urgent attention.",environment,english,NYC311_seed_controlled_augmentation_v2
Sewage Odor is causing drainage problems near the junction.,drainage,english,NYC311_seed_controlled_augmentation_v2
There is street flooding in our neighbourhood.,drainage,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by missed recycling-all materials outside our building. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation_v2
"This environmental problem involves oil spill on street, large outside our building.",environment,english,NYC311_seed_controlled_augmentation_v2
Chemical Vapors/Gases/Odors is affecting the surrounding environment close to the bus stop. We would appreciate assistance with this problem.,environment,english,NYC311_seed_controlled_augmentation_v2
Please investigate the water problem caused by dirty water close to the bus stop. Please arrange an inspection.,water_supply,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewer backup near the public market. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation_v2
Please inspect the drain because of ponding near the junction.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve rain garden flooding near the hospital. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
People in the area are experiencing unknown odor/taste in drinking water in our neighbourhood.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to dirty sidewalk near our house.,garbage,english,NYC311_seed_controlled_augmentation_v2
"Oil Spill On Street, Small is affecting the surrounding environment near the public market. This issue needs urgent attention.",environment,english,NYC311_seed_controlled_augmentation_v2
"There appears to be cloudy or milky, other close to the town centre. Please investigate this issue.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Please repair pothole close to the town centre. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation_v2
Please inspect the electrical issue involving street light lamp dim near the junction. The problem has been continuing for some time.,electricity,english,NYC311_seed_controlled_augmentation_v2
