complaint_text,priority,source
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the town centre. The condition becomes worse during busy periods.,medium,v2_original
We would like to report that several potholes are making vehicles slow down and change direction in the residential area.,medium,v3_targeted_augmentation
There is a problem where sewage is spreading across a school access road near the town centre.,high,v2_original
Water supply has been unavailable to a neighbourhood since yesterday near the community hall.,medium,v2_original
There is a problem where a small amount of litter is scattered near a bus stop near the community hall. The condition has remained unchanged since yesterday.,low,v2_original
We have noticed that a shallow puddle forms after light rain near the public market. Residents noticed the problem this morning.,low,v2_original
We have noticed that a drain cover is slightly loose but still in place near the hospital. The condition has remained unchanged since yesterday.,low,v2_original
A local issue has developed where sewage is spreading across a school access road near our houses. The problem has continued despite recent rainfall.,high,v2_original
The community would like to report that the road surface is badly cracked and uneven near the playground. the problem should be addressed before it becomes dangerous.,medium,v3_targeted_augmentation
The community would like to report that garbage collection has been missed for several days and waste is accumulating near the junction. the issue is causing significant inconvenience.,medium,v3_targeted_augmentation
People in the area are reporting that water pressure is too low for many houses in the area near the public market.,medium,v2_original
The situation involves several potholes are making vehicles slow down on the main road at the main junction.,medium,v2_original
"beside the public road, a drainage outlet is partially blocked and dirty water reaches the walkway. residents are requesting prompt attention. Residents are requesting assistance.",medium,v3_targeted_augmentation
A local issue has developed where dense smoke from a nearby facility is causing residents to leave their homes near our houses.,high,v2_original
A local issue has developed where a public bin is partly full but not overflowing on the main road. The condition becomes worse during busy periods.,low,v2_original
We are experiencing a situation where water service keeps stopping for several hours at a time outside the hospital. the problem has continued for more than a day. Please take the necessary action.,medium,v3_targeted_augmentation
The situation involves sewage is flowing into several homes from an overflowing manhole near our houses.,high,v2_original
There is a public complaint because a fallen lamp post is blocking part of the road with electrical wires attached close to the local clinic. residents are at risk of serious injury. The relevant department should investigate the problem.,high,v3_targeted_augmentation
Residents have noticed that a section of road has sunk and vehicles must drive around it along the roadside. People passing through the area are being affected.,medium,v2_original
There is a problem where a deep hole has opened across most of the traffic lane near a blind bend near the school.,high,v2_original
Residents have noticed that dense smoke from a nearby facility is causing residents to leave their homes near the town centre.,high,v2_original
There is a problem where floodwater has entered houses and is continuing to rise near our houses. People in the area have reported the same issue.,high,v2_original
We are experiencing a situation where a shallow pothole has started forming on a quiet side road in the residential area. the problem is limited to a small section. The relevant department should investigate the problem.,low,v3_targeted_augmentation
People living nearby have noticed that residents are experiencing repeated power cuts during the evening at the village entrance. residents are requesting prompt attention. We would appreciate assistance with this problem.,medium,v3_targeted_augmentation
The community would like to report that a fallen lamp post is blocking part of the road with electrical wires attached near the community centre. someone could be seriously injured if the area is not secured immediately. The relevant department should investigate the problem.,high,v3_targeted_augmentation
We have noticed that a small amount of litter is scattered near a bus stop near the hospital. People in the area have reported the same issue.,low,v2_original
A local issue has developed where a fallen power cable is lying across a pedestrian path along the roadside.,high,v2_original
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday close to the playground.,medium,v2_original
a small amount of rubbish has been left near a public bin in the residential area. Please address this issue.,low,v3_targeted_augmentation
People in the area are reporting that a minor water leak is dripping from a public pipe near the town centre. People in the area have reported the same issue.,low,v2_original
Residents report that a strong chemical release is affecting people in nearby homes close to the local clinic.,high,v3_targeted_augmentation
We would like to report that a small amount of dust is affecting one section of the road close to the bus stop.,low,v3_targeted_augmentation
The situation involves part of a roadside retaining wall has collapsed onto the traffic lane near the community hall. The condition becomes worse during busy periods.,high,v2_original
Residents have reported that a large tree has fallen onto electrical lines above the road near the railway station. residents are at risk of serious injury. We would appreciate assistance with this problem.,high,v3_targeted_augmentation
an exposed electrical cable is hanging where people can touch it close to the bus stop. Residents are requesting assistance.,high,v3_targeted_augmentation
Residents have reported that multiple damaged sections of road are affecting normal traffic outside the school. normal daily activities are being affected. Please take the necessary action.,medium,v3_targeted_augmentation
The situation involves a shallow puddle forms after light rain close to the playground. Several nearby residents have raised concerns.,low,v2_original
Residents have noticed that a small crack has appeared along the edge of a side road near the community hall. People passing through the area are being affected.,low,v2_original
We would like to report that electrical wires are sparking beside a crowded public area near the junction.,high,v3_targeted_augmentation
