complaint_text,category,source
There is a public complaint because the street lighting has stopped working near the railway station. people are concerned that someone could receive an electric shock. Please send the appropriate team to inspect this problem.,electricity,v3_natural_augmentation
We need assistance with culvert blocked/needs cleaning near our house.,drainage,v2_original
Garbage collection is affected by improper disposal near the junction. Please investigate this issue.,garbage,v2_original
Garbage collection is affected by bulk-missed recy collection along the roadside.,garbage,v2_original
People living nearby have noticed that wastewater is backing up from the drainage system along the main road. the overflow is creating an unsanitary condition. We would appreciate prompt assistance.,drainage,v3_natural_augmentation
There is a public complaint because chemical fumes are spreading through the area near the school. the air is becoming difficult to breathe. Please investigate this problem.,environment,v3_natural_augmentation
There is receptacle violation close to the bus stop.,garbage,v2_original
"close to the bus stop, the drainage system is overflowing during rainfall. stagnant water is remaining for several days. Please arrange an inspection.",drainage,v3_natural_augmentation
There is receptacle violation near our house. Please resolve this problem as soon as possible.,garbage,v2_original
Missed Recycling - M/G/Pl is creating an unsanitary condition close to the bus stop.,garbage,v2_original
There is pothole - highway in our neighbourhood.,roads,v2_original
Please inspect the electrical issue involving street light lamp dim near the school. This issue needs urgent attention.,electricity,v2_original
The road needs attention because of curb defect-metal protruding close to the bus stop. This issue needs urgent attention.,roads,v2_original
Residents report that waste has been dumped beside the public walkway outside our building.,garbage,v3_natural_augmentation
"near the railway station, a utility pole is leaning towards the road. the problem is affecting several nearby households. Please send the appropriate team to inspect this problem.",electricity,v3_natural_augmentation
"We have noticed air: odor/fumes, vehicle idling outside our building. We would appreciate assistance with this problem.",environment,v2_original
Vehicles are being affected by pothole - highway near our house. Please arrange an inspection.,roads,v2_original
"near the hospital, the drainage channel is clogged.",drainage,v3_natural_augmentation
People living nearby have noticed that a suspected chemical spill has occurred near the school. children and elderly residents are being exposed. Please address this issue.,environment,v3_natural_augmentation
"near the community centre, a section of the road has sunk. drivers have to suddenly avoid the damaged area. We would appreciate prompt assistance.",roads,v3_natural_augmentation
Residents report that the road has become extremely uneven at the village entrance.,roads,v3_natural_augmentation
Residents are requesting action regarding missed recycling paper along the roadside. Please resolve this problem as soon as possible.,garbage,v2_original
The community would like to report that a water pipe appears to have burst near the public market. residents need the water service restored. Please address this issue.,water_supply,v3_natural_augmentation
Residents have reported that there has been no water supply since this morning close to the local clinic. people are concerned about the quality of the drinking water. Residents would like this problem resolved.,water_supply,v3_natural_augmentation
Garbage collection is affected by missed collection near the hospital.,garbage,v2_original
Please repair wear & tear close to the bus stop.,roads,v2_original
People living nearby have noticed that several houses have no electricity outside our building. pedestrians may be at risk. Please investigate this problem.,electricity,v3_natural_augmentation
The community would like to report that the street has several deep cracks outside the hospital. vehicles are having difficulty passing safely. Please resolve this issue as soon as possible.,roads,v3_natural_augmentation
Residents are reporting manhole overflow near the hospital. The problem has been continuing for some time.,drainage,v2_original
Please arrange cleaning because of missed collection near the school. Please send the responsible team to inspect the area.,garbage,v2_original
Garbage collection is affected by missed recycling-all materials near the junction. We would appreciate assistance with this problem.,garbage,v2_original
the roadside curb is badly damaged near the playground. Please resolve this issue as soon as possible.,roads,v3_natural_augmentation
Please inspect the environmental issue involving ventilation near the public market.,environment,v2_original
Please send a technician because of lamppost knocked down on the main road. The problem has been continuing for some time.,electricity,v2_original
The electricity service has a problem with multiple street lights out near the hospital. Residents are requesting assistance.,electricity,v2_original
The area needs cleaning because of loose rubbish in our neighbourhood. Please send the responsible team to inspect the area.,garbage,v2_original
rotting garbage has accumulated beside the public walkway. a strong bad smell is spreading nearby. Please take the necessary action.,garbage,v3_natural_augmentation
Residents have reported street light lamp dim in our neighbourhood. Please resolve this problem as soon as possible.,electricity,v2_original
