complaint_text,category,language,source
We are experiencing an electrical problem involving street light out close to the town centre. Residents are requesting assistance.,electricity,english,NYC311_seed_controlled_augmentation
There is: Garbage-related problems include missed recycling paper on the main road.,garbage,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of sewage leak along the roadside.,drainage,english,NYC311_seed_controlled_augmentation
Asbestos Complaint is affecting the surrounding environment close to the town centre. The problem has been continuing for some time.,environment,english,NYC311_seed_controlled_augmentation
I am reporting: Our area is facing no water in the residential area.,water_supply,english,NYC311_seed_controlled_augmentation
Please send a technician because of street light lamp dim near the school.,electricity,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of sewer backup near the public market. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation
There is: Please inspect the drain because of ponding near our house. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
Lamppost Wire Exposed is affecting the area in our neighbourhood. Please send the responsible team to inspect the area.,electricity,english,NYC311_seed_controlled_augmentation
Residents are reporting catch basin clogged/flooding near the public market. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation
We are experiencing low water pressure - wlwp close to the bus stop. Please arrange an inspection.,water_supply,english,NYC311_seed_controlled_augmentation
"There is an environmental problem involving air: dust, construction/demolition close to the bus stop.",environment,english,NYC311_seed_controlled_augmentation
Residents are reporting sewage odor in the residential area. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation
Residents are reporting sewage odor near the hospital.,drainage,english,NYC311_seed_controlled_augmentation
Waste has become a problem due to missed recycling-all materials near our house. This is causing inconvenience to the public.,garbage,english,NYC311_seed_controlled_augmentation
"We have noticed oil spill on street, large near our house.",environment,english,NYC311_seed_controlled_augmentation
Please inspect this environmental issue: air: other air problem in our neighbourhood.,environment,english,NYC311_seed_controlled_augmentation
Please check the water system because of leak near the school.,water_supply,english,NYC311_seed_controlled_augmentation
The drainage problem appears to involve sewage odor in the residential area. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation
There is sewage leak near the hospital.,drainage,english,NYC311_seed_controlled_augmentation
There is sewer or drain outside our building. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
Please check the water system because of hydrant leaking near the hospital. Residents are requesting assistance.,water_supply,english,NYC311_seed_controlled_augmentation
15 Street Cond/Dump-Out/Drop-Off is creating an unsanitary condition close to the town centre. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation
Residents are concerned about air: other air problem near the public market. The problem has been continuing for some time.,environment,english,NYC311_seed_controlled_augmentation
Our area is facing damp spot near our house.,water_supply,english,NYC311_seed_controlled_augmentation
Curb Defect-Metal Protruding in our neighbourhood.,roads,english,NYC311_seed_controlled_augmentation
Please inspect the electrical issue: lamppost knocked down outside our building. This issue needs attention.,electricity,english,NYC311_seed_controlled_augmentation
Please check the water system because of heavy flow in the residential area.,water_supply,english,NYC311_seed_controlled_augmentation
Please address bulk-missed collection near the hospital.,garbage,english,NYC311_seed_controlled_augmentation
Please arrange cleaning because of dirty sidewalk in the residential area. We would appreciate assistance with this issue.,garbage,english,NYC311_seed_controlled_augmentation
There appears to be no water close to the bus stop.,water_supply,english,NYC311_seed_controlled_augmentation
Please repair curb defect-metal protruding in our neighbourhood. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of pothole outside our building.,roads,english,NYC311_seed_controlled_augmentation
There is electrical wiring defective/exposed near the public market. Residents are requesting assistance.,electricity,english,NYC311_seed_controlled_augmentation
"Residents are concerned about unsafe chemical, abandoned in our neighbourhood. The problem has been continuing for some time.",environment,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to street flooding close to the bus stop. We would appreciate assistance with this issue.,drainage,english,NYC311_seed_controlled_augmentation
Residents have complained about receptacle violation near the junction. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
"People nearby have complained about oil spill on street, large near the hospital.",environment,english,NYC311_seed_controlled_augmentation
There appears to be: There is a water supply problem involving low water pressure - wlwp on the main road.,water_supply,english,NYC311_seed_controlled_augmentation
"There is an environmental problem involving air: dust, other in the residential area. Please take the necessary action.",environment,english,NYC311_seed_controlled_augmentation
Please inspect this environmental issue: chemical vapors/gases/odors near the junction. Please arrange an inspection.,environment,english,NYC311_seed_controlled_augmentation
Street Flooding is affecting the area near the hospital. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of rain garden flooding along the roadside.,drainage,english,NYC311_seed_controlled_augmentation
There is missed recycling-all materials close to the town centre. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of pothole - highway on the main road.,roads,english,NYC311_seed_controlled_augmentation
There is: Please arrange cleaning because of dirty area/alleyway in our neighbourhood. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation
There is a water supply problem involving dirty water in the residential area. The problem has been continuing for some time.,water_supply,english,NYC311_seed_controlled_augmentation
Waste has become a problem due to dirty area/alleyway on the main road. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation
I am reporting: We are experiencing an electrical problem involving lamppost wire exposed along the roadside. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to catch basin clogged/flooding close to the town centre. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation
I am reporting: Manhole Overflow is affecting the area close to the bus stop. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation
Residents are reporting sewage leak in the residential area. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation
RAIN GARDEN FLOODING is affecting the area near the hospital. This issue needs attention.,drainage,english,NYC311_seed_controlled_augmentation
Please address missed recycling-all materials near the junction. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
Residents have complained about loose rubbish near the hospital. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation
Failed Street Repair near the hospital.,roads,english,NYC311_seed_controlled_augmentation
We have noticed: Please address bulk-missed collection near the public market. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation
We have noticed: Please arrange cleaning because of bulk-missed collection along the roadside. This issue needs attention.,garbage,english,NYC311_seed_controlled_augmentation
Please send a technician because of lamppost wire exposed near the public market. This is causing inconvenience to the public.,electricity,english,NYC311_seed_controlled_augmentation
Please check: Please repair pothole - highway close to the bus stop.,roads,english,NYC311_seed_controlled_augmentation
Please repair cave-in near the school. Please take the necessary action.,roads,english,NYC311_seed_controlled_augmentation
"We have noticed unsafe chemical, abandoned close to the bus stop. This is causing inconvenience to the public.",environment,english,NYC311_seed_controlled_augmentation
Please investigate the water issue: dirty water close to the bus stop.,water_supply,english,NYC311_seed_controlled_augmentation
Defective Hardware along the roadside. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with street light out along the roadside. Please investigate this issue.,electricity,english,NYC311_seed_controlled_augmentation
There has been: Loose Rubbish is creating an unsanitary condition in our neighbourhood. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation
The area needs cleaning because of receptacle violation near the junction. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
Please arrange cleaning because of receptacle violation near the school.,garbage,english,NYC311_seed_controlled_augmentation
Please check: There appears to be power outage near the junction. We would appreciate assistance with this issue.,electricity,english,NYC311_seed_controlled_augmentation
There is culvert blocked/needs cleaning in our neighbourhood.,drainage,english,NYC311_seed_controlled_augmentation
Garbage-related problems include missed recycling - m/g/pl along the roadside. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation
