complaint_text,priority
The situation involves a water pipe is leaking continuously and a large amount of water is being wasted near the hospital.,medium
There is a problem where water supply has been unavailable to a neighbourhood since yesterday in our neighbourhood.,medium
The situation involves wastewater is overflowing from a drain onto the roadside near the community hall. The condition becomes worse during busy periods.,medium
A local issue has developed where a small amount of litter is scattered near a bus stop on the main road. The condition has remained unchanged since yesterday.,low
People in the area are reporting that a fallen power cable is lying across a pedestrian path along the roadside. The condition becomes worse during busy periods.,high
The road surface is damaged in several places and motorcycles are having difficulty passing near the hospital.,medium
The situation involves a section of road has sunk and vehicles must drive around it at the main junction.,medium
A local issue has developed where a fallen power cable is lying across a pedestrian path near our houses. The issue has been reported by households nearby.,high
People in the area are reporting that a small crack has appeared along the edge of a side road close to the bus stop. The condition has remained unchanged since yesterday.,low
There is a problem where a fallen power cable is lying across a pedestrian path on the main road.,high
The situation involves a deep hole has opened across most of the traffic lane near a blind bend close to the playground. Residents noticed the problem this morning.,high
The situation involves there is a small amount of dust near a construction site near the hospital.,low
The situation involves a small amount of litter is scattered near a bus stop near the hospital. The issue has been reported by households nearby.,low
Residents have noticed that the road surface is damaged in several places and motorcycles are having difficulty passing close to the bus stop. The condition becomes worse during busy periods.,medium
A chemical liquid has leaked onto a public road beside residential buildings in our neighbourhood. People in the area have reported the same issue.,high
We have noticed that a small amount of litter is scattered near a bus stop in our neighbourhood. Residents noticed the problem this morning.,low
The situation involves repeated electricity interruptions are affecting many houses near the school. Several nearby residents have raised concerns.,medium
A roadside drain has some leaves and sediment inside it in our neighbourhood. People passing through the area are being affected.,low
Residents have noticed that a major water pipe has burst and water is entering nearby houses near our houses. The issue has been reported by households nearby.,high
People in the area are reporting that an exposed electrical cable is hanging low where pedestrians can reach it near our houses.,high
We have noticed that a single street sign area has minor surface damage near the hospital.,low
Residents have noticed that one street lamp is dim but still provides some light near the hospital. The issue is affecting normal use of the area.,low
People in the area are reporting that a single street sign area has minor surface damage at the main junction.,low
Sewage is spreading across a school access road at the main junction. The problem has continued despite recent rainfall.,high
A water pipe is leaking continuously and a large amount of water is being wasted near the public market. The problem has continued despite recent rainfall.,medium
A water main failure has flooded the entrance to a hospital close to the playground. People passing through the area are being affected.,high
The situation involves a large section of road has collapsed beside a school entrance on the main road. People in the area have reported the same issue.,high
People in the area are reporting that several potholes are making vehicles slow down on the main road on the main road. The condition becomes worse during busy periods.,medium
A local issue has developed where a small crack has appeared along the edge of a side road at the main junction. People in the area have reported the same issue.,low
The situation involves wastewater is overflowing from a drain onto the roadside near the hospital.,medium
People in the area are reporting that smoke from a nearby workshop is entering nearby houses near the hospital. The problem can be seen clearly from the roadside.,medium
People in the area are reporting that the road surface is damaged in several places and motorcycles are having difficulty passing near the community hall.,medium
People in the area are reporting that a small crack has appeared along the edge of a side road close to the bus stop. Residents noticed the problem this morning.,low
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents close to the bus stop. Residents noticed the problem this morning.,high
We have noticed that a small crack has appeared along the edge of a side road near the public market. The issue is affecting normal use of the area.,low
The situation involves a roadside drain has some leaves and sediment inside it close to the bus stop. The condition has remained unchanged since yesterday.,low
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents at the main junction.,high
We have noticed that a drain cover is slightly loose but still in place close to the playground. The condition becomes worse during busy periods.,low
A small amount of litter is scattered near a bus stop at the main junction. Residents noticed the problem this morning.,low
People in the area are reporting that a roadside drain is blocked and rainwater is collecting across part of the road near the hospital. People in the area have reported the same issue.,medium
The situation involves a drain cover is slightly loose but still in place on the main road.,low
The situation involves a small amount of litter is scattered near a bus stop near the town centre.,low
There is a problem where one lamp flickers occasionally during the evening close to the playground. Several nearby residents have raised concerns.,low
A local issue has developed where a shallow puddle forms after light rain near our houses.,low
We have noticed that a large public waste bin is overflowing onto the pavement close to the bus stop. The problem can be seen clearly from the roadside.,medium
There is a problem where smoke from a nearby workshop is entering nearby houses near the hospital. The issue has been reported by households nearby.,medium
Residents have noticed that electrical wires are sparking beside a crowded pedestrian area on the main road. Residents noticed the problem this morning.,high
A shallow puddle forms after light rain along the roadside. People passing through the area are being affected.,low
Residents have noticed that a large section of road has collapsed beside a school entrance at the main junction. The problem has continued despite recent rainfall.,high
Residents have noticed that several street lights along one road are not working near the school. People in the area have reported the same issue.,medium
Residents have noticed that water supply has been unavailable to a neighbourhood since yesterday along the roadside. Several nearby residents have raised concerns.,medium
We have noticed that a large section of road has collapsed beside a school entrance close to the bus stop. People in the area have reported the same issue.,high
People in the area are reporting that one lamp flickers occasionally during the evening near our houses.,low
An exposed electrical cable is hanging low where pedestrians can reach it at the main junction.,high
We have noticed that a few garbage bags are waiting at the normal collection point along the roadside. Residents noticed the problem this morning.,low
We have noticed that floodwater has entered houses and is continuing to rise close to the playground.,high
A local issue has developed where a section of road has sunk and vehicles must drive around it near our houses. The issue is affecting normal use of the area.,medium
There is a problem where there is a small amount of dust near a construction site near our houses.,low
A local issue has developed where a water main failure has flooded the entrance to a hospital in our neighbourhood. Several nearby residents have raised concerns.,high
