complaint_text,priority
We are experiencing a problem where water supply has been unavailable for two days on the main road. This problem has continued for some time.,medium
Repeated power interruptions are affecting many houses close to the bus stop. Residents are requesting prompt attention.,medium
We are experiencing a problem where the roadside drain is blocked and water is collecting near the town centre. Please arrange repairs as soon as possible.,medium
There is an issue: a small amount of litter is scattered near the bus stop along the roadside. The issue is minor but should be checked.,low
Please investigate because a chemical spill has occurred near a residential area near the town centre. Urgent intervention is required.,high
Wastewater is overflowing onto the roadside at the main junction. Residents are requesting prompt attention.,medium
Please investigate because smoke from a nearby workshop is affecting residents along the roadside. Residents are requesting prompt attention.,medium
Severe flooding is entering houses in the neighbourhood on the main road. Please send an emergency response team.,high
Please investigate because a small amount of litter is scattered near the bus stop in our neighbourhood. This appears to need routine maintenance.,low
There is an issue: exposed electrical wiring is sparking near pedestrians near our houses. Residents may be in danger if this is not addressed immediately.,high
Please investigate because a large sinkhole has opened near the school near our houses. Immediate action is required.,high
Residents have reported that a small crack has appeared on a side road near our houses. This appears to need routine maintenance.,low
There is an occasional unpleasant smell near the market near our houses. This appears to need routine maintenance.,low
Residents have reported that repeated power interruptions are affecting many houses near the school. Please take action soon.,medium
Residents have reported that heavy toxic smoke is affecting residents near the town centre. Residents may be in danger if this is not addressed immediately.,high
Please investigate because a small crack has appeared on a side road close to the bus stop. The issue is minor but should be checked.,low
We are experiencing a problem where garbage has not been collected for several days near the town centre. Please take action soon.,medium
There is an issue: one lamp flickers occasionally at night in our neighbourhood. The issue is minor but should be checked.,low
There is an issue: a road section has collapsed and is creating an immediate accident risk near the hospital. This is creating a serious safety risk.,high
Please investigate because a damaged electrical pole may collapse onto the road close to the bus stop. Residents may be in danger if this is not addressed immediately.,high
We are experiencing a problem where a small crack has appeared on a side road along the roadside. Please arrange a normal inspection.,low
There is a minor leak from a public water pipe near the hospital. Please inspect it when possible.,low
We are experiencing a problem where there is a minor leak from a public water pipe in our neighbourhood. The issue is minor but should be checked.,low
Please investigate because exposed electrical wiring is sparking near pedestrians near the hospital. This is creating a serious safety risk.,high
We are experiencing a problem where repeated power interruptions are affecting many houses on the main road. Residents are requesting prompt attention.,medium
There is an issue: a chemical spill has occurred near a residential area on the main road. This is creating a serious safety risk.,high
There is an issue: a road section has collapsed and is creating an immediate accident risk near the school. Please send an emergency response team.,high
We are experiencing a problem where a water pipe leak is wasting a large amount of water near the town centre. Please take action soon.,medium
A small crack has appeared on a side road near the school. This appears to need routine maintenance.,low
Residents have reported that repeated power interruptions are affecting many houses near our houses. This problem has continued for some time.,medium
Please investigate because several potholes are affecting vehicles on the main road near the town centre. Residents are requesting prompt attention.,medium
We are experiencing a problem where wastewater is overflowing onto the roadside on the main road. Please arrange repairs as soon as possible.,medium
Residents have reported that a small crack has appeared on a side road near the school. This appears to need routine maintenance.,low
Residents have reported that heavy toxic smoke is affecting residents in our neighbourhood. This is creating a serious safety risk.,high
We are experiencing a problem where one street light is dim but still working at the main junction. Please arrange a normal inspection.,low
We are experiencing a problem where there is a minor leak from a public water pipe at the main junction. Please arrange a normal inspection.,low
Residents have reported that exposed electrical wiring is sparking near pedestrians in our neighbourhood. This is creating a serious safety risk.,high
There is an issue: one lamp flickers occasionally at night near the town centre. Please inspect it when possible.,low
A small crack has appeared on a side road close to the bus stop. This appears to need routine maintenance.,low
Residents have reported that garbage has not been collected for several days near the public market. This problem has continued for some time.,medium
We are experiencing a problem where a small amount of litter is scattered near the bus stop near the public market. Please inspect it when possible.,low
Please investigate because there is an occasional unpleasant smell near the market close to the bus stop. The issue is minor but should be checked.,low
Please investigate because a small puddle forms after light rain in our neighbourhood. This appears to need routine maintenance.,low
Please investigate because a curb has a small damaged section along the roadside. The issue is minor but should be checked.,low
Residents have reported that smoke from a nearby workshop is affecting residents at the main junction. Please take action soon.,medium
There is an issue: wastewater is overflowing onto the roadside at the main junction. The issue is affecting several residents.,medium
Please investigate because a chemical spill has occurred near a residential area along the roadside. This is creating a serious safety risk.,high
Please investigate because a few garbage bags have been left near the collection point near the town centre. Residents are requesting maintenance.,low
Please investigate because a major water pipe has burst and is flooding nearby houses near the town centre. Immediate action is required.,high
There is an issue: smoke from a nearby workshop is affecting residents near our houses. Residents are requesting prompt attention.,medium
We are experiencing a problem where water supply has been unavailable for two days at the main junction. This problem has continued for some time.,medium
There is an issue: a large sinkhole has opened near the school on the main road. Residents may be in danger if this is not addressed immediately.,high
Please investigate because a few garbage bags have been left near the collection point near the town centre. Please arrange a normal inspection.,low
Please investigate because a damaged electrical pole may collapse onto the road on the main road. Immediate action is required.,high
Please investigate because there is an occasional unpleasant smell near the market on the main road. Residents are requesting maintenance.,low
We are experiencing a problem where a large sinkhole has opened near the school along the roadside. Please send an emergency response team.,high
Wastewater is overflowing onto the roadside near the school. Please arrange repairs as soon as possible.,medium
Residents have reported that a small amount of litter is scattered near the bus stop near the public market. Please inspect it when possible.,low
Please investigate because a large sinkhole has opened near the school near the school. This is creating a serious safety risk.,high
We are experiencing a problem where wastewater is overflowing onto the roadside near our houses. Residents are requesting prompt attention.,medium
A small crack has appeared on a side road near the school. Please inspect it when possible.,low
We are experiencing a problem where there is a minor leak from a public water pipe close to the bus stop. Please inspect it when possible.,low
One lamp flickers occasionally at night close to the bus stop. This appears to need routine maintenance.,low
Residents have reported that a small puddle forms after light rain on the main road. This appears to need routine maintenance.,low
Please investigate because there is a minor leak from a public water pipe near the town centre. Residents are requesting maintenance.,low
Residents have reported that several street lights are not working close to the bus stop. Please arrange repairs as soon as possible.,medium
Residents have reported that smoke from a nearby workshop is affecting residents at the main junction. This problem has continued for some time.,medium
Residents have reported that several potholes are affecting vehicles on the main road near the town centre. This problem has continued for some time.,medium
Wastewater is overflowing onto the roadside along the roadside. Please arrange repairs as soon as possible.,medium
There is an issue: one lamp flickers occasionally at night near the hospital. The issue is minor but should be checked.,low
There is an issue: the roadside drain is blocked and water is collecting near the public market. Residents are requesting prompt attention.,medium
Please investigate because a road section has collapsed and is creating an immediate accident risk close to the bus stop. Immediate action is required.,high
Residents have reported that heavy toxic smoke is affecting residents near the public market. Urgent intervention is required.,high
Several potholes are affecting vehicles on the main road on the main road. Residents are requesting prompt attention.,medium
A few garbage bags have been left near the collection point near our houses. Residents are requesting maintenance.,low
One street light is dim but still working near the hospital. Please inspect it when possible.,low
There is an issue: a live electrical wire has fallen across the road close to the bus stop. This is creating a serious safety risk.,high
A chemical spill has occurred near a residential area at the main junction. Immediate action is required.,high
Exposed electrical wiring is sparking near pedestrians in our neighbourhood. Immediate action is required.,high
Residents have reported that a large sinkhole has opened near the school in our neighbourhood. Residents may be in danger if this is not addressed immediately.,high
There is an issue: several street lights are not working at the main junction. Please arrange repairs as soon as possible.,medium
We are experiencing a problem where water supply has been unavailable for two days near the school. The issue is affecting several residents.,medium
Please investigate because one lamp flickers occasionally at night in our neighbourhood. This appears to need routine maintenance.,low
There is an issue: garbage has not been collected for several days at the main junction. This problem has continued for some time.,medium
Residents have reported that heavy toxic smoke is affecting residents near the school. Urgent intervention is required.,high
We are experiencing a problem where one lamp flickers occasionally at night close to the bus stop. Please inspect it when possible.,low
There is an issue: severe flooding is entering houses in the neighbourhood near our houses. This is creating a serious safety risk.,high
Please investigate because the roadside drain is blocked and water is collecting near our houses. The issue is affecting several residents.,medium
We are experiencing a problem where a large sinkhole has opened near the school on the main road. This is creating a serious safety risk.,high
A damaged electrical pole may collapse onto the road close to the bus stop. Urgent intervention is required.,high
Residents have reported that the roadside drain needs routine cleaning close to the bus stop. The issue is minor but should be checked.,low
Please investigate because wastewater is overflowing onto the roadside on the main road. The issue is affecting several residents.,medium
A road section has collapsed and is creating an immediate accident risk near the school. Urgent intervention is required.,high
The roadside drain is blocked and water is collecting near the town centre. Please take action soon.,medium
Residents have reported that repeated power interruptions are affecting many houses close to the bus stop. Please arrange repairs as soon as possible.,medium
Residents have reported that one lamp flickers occasionally at night in our neighbourhood. Residents are requesting maintenance.,low
Please investigate because exposed electrical wiring is sparking near pedestrians near the town centre. This is creating a serious safety risk.,high
We are experiencing a problem where a road section has collapsed and is creating an immediate accident risk near the school. Residents may be in danger if this is not addressed immediately.,high
One lamp flickers occasionally at night in our neighbourhood. Please inspect it when possible.,low
A water pipe leak is wasting a large amount of water in our neighbourhood. Please take action soon.,medium
Residents have reported that a large sinkhole has opened near the school near the hospital. Urgent intervention is required.,high
Please investigate because the roadside drain needs routine cleaning at the main junction. Please inspect it when possible.,low
Please investigate because the roadside drain needs routine cleaning near the public market. Please inspect it when possible.,low
Please investigate because several potholes are affecting vehicles on the main road along the roadside. The issue is affecting several residents.,medium
Residents have reported that smoke from a nearby workshop is affecting residents near the public market. This problem has continued for some time.,medium
Residents have reported that a few garbage bags have been left near the collection point at the main junction. This appears to need routine maintenance.,low
Repeated power interruptions are affecting many houses in our neighbourhood. This problem has continued for some time.,medium
Residents have reported that a few garbage bags have been left near the collection point along the roadside. This appears to need routine maintenance.,low
One street light is dim but still working along the roadside. Please inspect it when possible.,low
The road surface is badly damaged in several places near the school. The issue is affecting several residents.,medium
Sewage is overflowing into several homes near the public market. Immediate action is required.,high
A small crack has appeared on a side road in our neighbourhood. The issue is minor but should be checked.,low
We are experiencing a problem where severe flooding is entering houses in the neighbourhood along the roadside. This is creating a serious safety risk.,high
